haskell-base-compat-batteries 0.12.2-66
haskell-base-orphans 0.8.7-76
haskell-base-unicode-symbols 0.2.4.2-13
haskell-base16-bytestring 1.0.2.0-71
haskell-base64 0.4.2.4-59
haskell-base64-bytestring 1.2.1.0-94
haskell-basement 0.0.16-1
haskell-bifunctors 5.6-37
haskell-bitvec 1.1.3.0-74
haskell-blaze-builder 0.4.2.3-1
haskell-blaze-html 0.9.1.2-217
haskell-blaze-markup 0.8.3.0-1
haskell-boring 0.2.1-2
haskell-bsb-http-chunked 0.0.0.4-368
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-166
haskell-case-insensitive 1.2.1.0-194
haskell-cassava 0.5.3.0-79
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.1-75
haskell-cmdargs 0.10.22-1
haskell-colour 2.3.6-192
haskell-commonmark 0.2.3-14
haskell-commonmark-extensions 0.2.3.5-16
haskell-commonmark-pandoc 0.2.1.3-56
haskell-comonad 5.0.8-221
haskell-conduit 1.3.5-28
haskell-conduit-extra 1.3.6-109
haskell-constraints 0.13.4-40
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-crypton 0.34-1
haskell-crypton-connection 0.3.1-23
haskell-crypton-x509 1.7.6-18
haskell-crypton-x509-store 1.6.9-18
haskell-crypton-x509-system 1.6.7-18
haskell-crypton-x509-validation 1.6.12-18
haskell-data-array-byte 0.1.0.1-37
haskell-data-default 0.7.1.1-292
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-305
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-93
haskell-dec 0.0.5-4
haskell-digest 0.0.1.7-1
haskell-digits 0.3.1-12
haskell-distributive 0.6.2.1-200
haskell-dlist 1.0-227
haskell-doclayout 0.4.0.1-17
haskell-doctemplates 0.11-49
haskell-easy-file 0.2.5-12
haskell-emojis 0.1.3-1
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.2-51
haskell-file-embed 0.0.15.0-1
